126,magmar,Fire,,65,95,57,100,85,93,,
127,pinsir,Bug,,65,125,100,55,70,85,,
128,tauros,Normal,,75,100,95,40,70,110,,
129,magikarp,Water,,20,10,55,15,20,80,,
131,lapras,Water,Ice,130,85,80,85,95,60,,
132,ditto,Normal,,48,48,48,48,48,48,,
133,eevee,Normal,,55,55,50,45,65,55,,
137,porygon,Normal,,65,60,70,85,75,40,,
138,omanyte,Rock,Water,35,40,100,90,55,35,,
140,kabuto,Rock,Water,30,80,90,55,45,55,,
142,aerodactyl,Rock,Flying,80,105,65,60,75,130,,
143,snorlax,Normal,,160,110,65,65,110,30,,
144,articuno,Ice,Flying,90,85,100,95,125,85,,
145,zapdos,Electric,Flying,90,90,85,125,90,100,,
146,moltres,Fire,Flying,90,100,90,125,85,90,,
147,dratini,Dragon,,41,64,45,50,50,50,,
150,mewtwo,Psychic,,106,110,90,154,90,130,,
151,mew,Psychic,,100,100,100,100,100,100,,
2,ivysaur,Grass,Poison,60,62,63,80,80,60,,
3,venusaur,Grass,Poison,80,82,83,100,100,80,,
5,charmeleon,Fire,,58,64,58,80,65,80,,
6,charizard,Fire,Flying,78,84,78,109,85,100,,
8,wartortle,Water,,59,63,80,65,80,58,,
9,blastoise,Water,,79,83,100,85,105,78,,
11,metapod,Bug,,50,20,55,25,25,30,,
12,butterfree,Bug,Flying,60,45,50,80,80,70,,
14,kakuna,Bug,Poison,45,25,50,25,25,35,,
15,beedrill,Bug,Poison,65,80,40,45,80,75,,
17,pidgeotto,Normal,Flying,63,60,55,50,50,71,,
18,pidgeot,Normal,Flying,83,80,75,70,70,91,,
20,raticate,Normal,,55,81,60,50,70,97,,
22,fearow,Normal,Flying,65,90,65,61,61,100,,
24,arbok,Poison,,60,85,69,65,79,80,,
28,sandslash,Ground,,75,100,110,45,55,65,,
30,nidorina,Poison,,70,62,67,55,55,56,,
33,nidorino,Poison,,61,72,57,55,55,65,,
40,wigglytuff,Normal,,140,70,45,75,50,45,,
44,gloom,Grass,Poison,60,65,70,85,75,40,,
47,parasect,Bug,Grass,60,95,80,60,80,30,,
49,venomoth,Bug,Poison,70,65,60,90,75,90,,
51,dugtrio,Ground,,35,80,50,50,70,120,,
53,persian,Normal,,65,70,60,65,65,115,,
55,golduck,Water,,80,82,78,95,80,85,,
57,primeape,Fighting,,65,105,60,60,70,95,,
61,poliwhirl,Water,,65,65,65,50,50,90,,
64,kadabra,Psychic,,40,35,30,120,70,105,,
67,machoke,Fighting,,80,100,70,50,60,45,,
70,weepinbell,Grass,Poison,65,90,50,85,45,55,,
73,tentacruel,Water,Poison,80,70,65,80,120,100,,
75,graveler,Rock,Ground,55,95,115,45,45,35,,
78,rapidash,Fire,,65,100,70,80,80,105,,
80,slowbro,Water,Psychic,95,75,110,100,80,30,,
82,magneton,Electric,Steel,50,60,95,120,70,70,,
85,dodrio,Normal,Flying,60,110,70,60,60,100,,
87,dewgong,Water,Ice,90,70,80,70,95,70,,
89,muk,Poison,,105,105,75,65,100,50,,
93,haunter,Ghost,Poison,45,50,45,115,55,95,,
97,hypno,Psychic,,85,73,70,73,115,67,,
99,kingler,Water,,55,130,115,50,50,75,,
101,electrode,Electric,,60,50,70,80,80,140,,
105,marowak,Ground,,60,80,110,50,80,45,,
110,weezing,Poison,,65,90,120,85,70,60,,
112,rhydon,Ground,Rock,105,130,120,45,45,40,,
117,seadra,Water,,55,65,95,95,45,85,,
119,seaking,Water,,80,92,65,65,80,68,,
130,gyarados,Water,Flying,95,125,79,60,100,81,,
139,omastar,Rock,Water,70,60,125,115,70,55,,
141,kabutops,Rock,Water,60,115,105,65,70,80,,
148,dragonair,Dragon,,61,84,65,70,70,70,,
149,dragonite,Dragon,Flying,91,134,95,100,100,80,,
